NCES-District-ID,District-Name,District-Phone
5302460,Ellensburg School District,(509)925-8000
5302490,Elma School District,(360)482-2822
5302520,Endicott School District,(509)657-3523
5302550,Entiat School District,(509)784-1800
5300001,Enumclaw School District,(360)802-7100
5302610,Ephrata School District,(509)754-2474
5302640,Evaline School District,(360)785-3460
5300314,Everett Community College,(425)388-9100
5302670,Everett School District,(425)385-4000
5302700,Evergreen School District (Clark),(360)604-4005
5302730,Evergreen School District (Stevens),(509)722-6084
5300341,Evergreen State College,(360)867-6000
5302820,Federal Way School District,(253)945-2000
5302850,Ferndale School District,(360)383-9200
5302880,Fife School District,(253)517-1000
5302910,Finley School District,(509)586-3217
5302940,Franklin Pierce School District,(253)298-3000
5302970,Freeman School District,(509)291-3695
5303000,Garfield School District,(509)878-1921
5303030,Glenwood School District,(509)364-3438
5303090,Goldendale School District,(509)773-5177
5303130,Grand Coulee Dam School District,(509)633-2143
5303150,Grandview School District,(509)882-8500
5303180,Granger School District,(509)854-1515
5303210,Granite Falls School District,(360)691-7717
5303240,Grapeview School District,(360)275-4921
5303270,Great Northern School District,(509)747-7714
5303300,Green Mountain School District,(360)225-7366
5300326,Green River College,(253)833-9111
5303330,Griffin School District,(360)866-5888
5303360,Harrington School District,(509)253-4331
5303510,Highland School District,(509)678-8630
5303540,Highline School District,(206)631-3000
5303570,Hockinson School District,(360)448-6400
5303600,Hood Canal School District,(360)877-5463
5303660,Hoquiam School District,(360)538-8200
5310172,Impact | Black River Elementary,(206)712-7640
5300354,Impact | Commencement Bay Elementary,(206)712-7640
5300345,Impact | Puget Sound Elementary,(206)712-7640
5300348,Impact | Salish Sea Elementary,(206)712-7640
5300002,Inchelium School District,(509)722-6181
5303720,Index Elementary School District 63,(360)793-1330
5300351,Intergenerational High School,(360)543-8295
5303750,Issaquah School District,(425)837-7000
5303780,Kahlotus School District,(509)282-3338
5303810,Kalama School District,(360)673-5282
5303870,Keller School District,(509)634-4325
5300003,Kelso School District,(360)501-1900
5303930,Kennewick School District,(509)222-5000
5303960,Kent School District,(253)373-7000
5303990,Kettle Falls School District,(509)738-6625
5304020,Kiona-Benton City School District,(509)588-2000
5304050,Kittitas School District,(509)955-3120
5304080,Klickitat School District,(509)369-4145
5304170,La Center School District,(360)263-2131
5304110,La Conner School District,(360)466-3171
5304150,LaCrosse School District,(509)549-3591
5301200,Lake Chelan School District,(509)682-3515
5307050,Lake Quinault School District,(360)288-2260
5304200,Lake Stevens School District,(425)335-1500
5300313,Lake Washington Institute of Technology,(425)739-8100
5304230,Lake Washington School District,(425)936-1200
5304260,Lakewood School District,(360)652-4500
5304290,Lamont School District,(509)257-2463
5304380,Liberty School District,(509)624-4415
5304410,Lind School District,(509)677-3481
5304470,Longview School District,(360)575-7000
5304500,Loon Lake School District,(509)233-2212
5304530,Lopez School District,(360)468-2202
5300350,Lumen Public School,(509)570-3921
5304590,Lyle School District,(509)365-2191
5304620,Lynden School District,(360)354-4443
5304650,Mabton School District,(509)894-4852
5304710,Mansfield School District,(509)683-1012
5304740,Manson School District,(509)687-3140
5304800,Mary M Knight School District,(360)426-6767
5304830,Mary Walker School District,(509)258-4534
5304860,Marysville School District,(360)965-0000
5304890,McCleary School District,(360)495-3204
5304920,Mead School District,(509)465-6000
5304950,Medical Lake School District,(509)565-3100
5304980,Mercer Island School District,(206)236-3300
5305010,Meridian School District,(360)398-7111
5305020,Methow Valley School District,(509)996-9205
5305040,Mill A School District,(509)538-2522
5305130,Monroe School District,(360)804-2500
5305160,Montesano School District,(360)249-3942
5305190,Morton School District,(360)496-5300
5305220,Moses Lake School District,(509)766-2650
5305250,Mossyrock School District,(360)983-3183
5305280,Mount Adams School District,(509)874-2611
5305310,Mount Baker School District,(360)383-2000
5305340,Mount Pleasant School District,(360)835-3371
5305400,Mount Vernon School District,(360)428-6110
5305430,Mukilteo School District,(425)356-1274
5305460,Naches Valley School District,(509)653-2220
5305490,Napavine School District,(360)262-3303
5305520,Naselle-Grays River Valley School District,(360)484-7121
5305550,Nespelem School District,(509)634-4541
5305610,Newport School District,(509)447-3167
5305640,Nine Mile Falls School District,(509)340-4300
5305670,Nooksack Valley School District,(360)988-4754
5305700,North Beach School District No. 64,(360)289-2447
5300004,North Central Educational Service District 171,(509)665-2610
5305730,North Franklin School District,(509)234-2021
5305760,North Kitsap School District,(360)396-3000
5305790,North Mason School District,(360)277-2300
5305820,North River School District,(360)532-3079
5305850,North Thurston Public Schools,(360)412-4400
5305880,Northport School District,(509)732-4441
5305910,Northshore School District,(425)408-6000
5300008,Northwest Educational Service District 189,(360)299-4000
5305940,Oak Harbor School District,(360)279-5000
5305970,Oakesdale School District,(509)285-5296
5306000,Oakville School District,(360)273-0171
5306060,Ocean Beach School District,(360)642-3739
5306090,Ocosta School District,(360)268-9125
5306120,Odessa School District,(509)982-2668
5300318,Office of the Governor (Sch for Blind),(360)947-3308
5306150,Okanogan School District,(509)422-3629
5306180,Olympia School District,(360)596-6100
5300007,Olympic Educational Service District 114,(360)479-0993
5306220,Omak School District,(509)826-0320
5306240,Onalaska School District,(360)978-4111
5306270,Onion Creek School District,(509)732-4240
5306300,Orcas Island School District,(360)376-2284
5306330,Orchard Prairie School District,(509)467-9517
5306360,Orient School District,(509)684-6873
5306390,Orondo School District,(509)784-2443
5306420,Oroville School District,(509)476-2281
5306450,Orting School District,(360)893-6500
5306480,Othello School District,(509)488-2659
5306510,Palisades School District,(509)884-8071
5306540,Palouse School District,(509)878-1921
5306570,Pasco School District,(509)543-6700
5306600,Pateros School District,(509)923-2343
5306630,Paterson School District,(509)875-2601
5306660,Pe Ell School District,(360)291-3244
5306690,Peninsula School District,(253)530-1002
5300352,Pinnacles Prep Charter School,(509)888-6464
5306750,Pioneer School District,(360)426-9115
5306780,Pomeroy School District,(509)843-3393
5306820,Port Angeles School District,(360)457-8575
5306840,Port Townsend School District,(360)379-4501
5306870,Prescott School District,(509)849-2217
5300339,PRIDE Prep Charter School District,(509)309-7680
5306900,Prosser School District,(509)786-3323
5300006,Puget Sound Educational Service District 121,(425)917-7600
5300355,Pullman Community Montessori,(509)336-5909
5306930,Pullman School District,(509)332-3581
5306960,Puyallup School District,(253)841-1301
5301380,Queets-Clearwater School District,(360)962-2395
5306990,Quilcene School District,(360)765-3363
5307020,Quillayute Valley School District,(360)374-6262
5307080,Quincy School District,(509)787-4571
5300335,Rainier Prep Charter School District,(206)494-5979
5307110,Rainier School District,(360)446-2207
5300342,Rainier Valley Leadership Academy,(206)659-0956
5307140,Raymond School District,(360)942-3415
5307210,Reardan-Edwall School District,(509)796-2701
5307230,Renton School District,(425)204-2300
5300325,Renton Technical College,(425)243-2366
5307260,Republic School District,(509)775-3173
5307320,Richland School District,(509)967-6000
5307350,Ridgefield School District,(360)619-1301
5307380,Ritzville School District,(509)659-1660
5307440,Riverside School District,(509)464-8201
5304560,Riverview School District,(425)844-4500
5307470,Rochester School District,(360)858-1811
5307530,Roosevelt School District,(509)384-5462
5310171,Rooted School Washington,(360)200-8974
5307560,Rosalia School District,(509)523-3061
5307620,Royal School District,(509)346-2222
5307650,San Juan Island School District,(360)378-4133
5307680,Satsop School District,(360)482-5330
5300323,Seattle Central Community College,(206)587-4974
5307710,Seattle School District No. 1,(206)252-0010
5307740,Sedro-Woolley School District,(360)855-3500
5307770,Selah School District,(509)698-8001
5307800,Selkirk School District,(509)446-2951
5307830,Sequim School District,(360)582-3260
5307860,Shaw Island School District,(360)468-2570
5307900,Shelton School District,(360)426-1687
5307920,Shoreline School District,(206)393-4203
5307950,Skamania School District,(509)427-8239
5307980,Skykomish School District,(360)677-2623
5308020,Snohomish School District,(360)563-7240
5308040,Snoqualmie Valley School District,(425)831-8000
5308070,Soap Lake School District,(509)246-1822
5308100,South Bend School District,(360)875-6041
5308160,South Kitsap School District,(360)874-7000
5300321,South Seattle Community College,(206)934-5300
5308190,South Whidbey School District,(360)221-6100
5308220,Southside School District,(360)426-8437
5300337,Spokane International Academy,(509)209-8730
5308250,Spokane School District,(509)354-5900
5308280,Sprague School District,(509)257-2591
5308310,St. John School District,(509)648-3336
5308340,Stanwood-Camano School District,(360)629-1200
5308370,Star School District No. 054,(509)547-2704
5308400,Starbuck School District,(509)399-2381
5308430,Stehekin School District,(360)725-6000
5308460,Steilacoom Hist. School District,(253)983-2200
5308490,Steptoe School District,(509)397-3119
5308520,Stevenson-Carson School District,(509)427-5674
5308550,Sultan School District,(360)793-9800
5300343,Summit Public School: Atlas,(253)987-1535
5300333,Summit Public School: Olympus,(253)444-9781
5300334,Summit Public School: Sierra,(206)453-2520
5308580,Summit Valley School District,(509)935-6362
5308610,Sumner-Bonney Lake School District,(253)891-6000
5308670,Sunnyside School District,(509)837-5851
5300328,Suquamish Tribal Education Department,(360)394-7129
5308700,Tacoma School District,(253)571-1000
5308730,Taholah School District,(360)276-4780
5308760,Tahoma School District,(425)413-3400
5308790,Tekoa School District,(509)284-3281
5308820,Tenino School District,(360)264-3411
5308850,Thorp School District,(509)964-2107
5308910,Toledo School District,(360)864-6325
5308940,Tonasket School District,(509)486-2126
5308970,Toppenish School District,(509)865-4455
5309000,Touchet School District,(509)394-2352
5309030,Toutle Lake School District,(360)274-6182
5309060,Trout Lake School District,(509)395-2571
5308130,Tukwila School District,(206)901-8000
5309100,Tumwater School District,(360)709-7000
5309150,Union Gap School District,(509)248-3966
5300320,University of Washington (17904),(206)543-2100
5309180,University Place School District,(253)566-5600
5309240,Valley School District,(509)937-2791
5309270,Vancouver School District,(360)313-1000
5309300,Vashon Island School District,(206)463-8530
5309330,Wahkiakum School District,(360)795-3971
5309360,Wahluke School District,(509)932-4565
5309390,Waitsburg School District,(509)337-6301
5309450,Walla Walla Public Schools,(509)526-6708
5309480,Wapato School District,(509)877-4181
5309510,Warden School District,(509)349-2366
5300015,Washington Center for Deaf and Hard of Hearing Youth,(360)418-0401
5300324,Washington Military Department,(360)473-2602
5300317,Washington State University,(509)335-3564
5309540,Washougal School District,(360)954-3000
5309570,Washtucna School District,(509)646-3237
5309600,Waterville School District,(509)745-8584
5309630,Wellpinit School District #49,(509)258-4535
5309660,Wenatchee School District,(509)663-8161
5309690,West Valley School District (Spokane),(509)924-2150
5309720,West Valley School District (Yakima),(509)972-6000
5300319,Western Washington University,(360)650-3000
5309750,White Pass School District,(360)497-3791
5309780,White River School District,(360)829-0600
5309810,White Salmon Valley School District,(509)493-1500
5300349,Why Not You Academy,(253)339-8601
5309840,Wilbur School District,(509)647-2221
5309870,Willapa Valley School District,(360)942-5855
5309900,Wilson Creek School District,(509)345-2541
5309930,Winlock School District,(360)785-3582
5309990,Wishkah Valley School District,(360)532-3128
5310020,Wishram School District,(509)748-2551
5310050,Woodland School District,(360)841-2700
5310110,Yakima School District,(509)573-7000
5310140,Yelm School District,(360)458-1900
5310170,Zillah School District,(509)829-5911
