NCES-School-ID,School-Name,School-Type,District,School-Level,Address,Phone,Latitude,Longitude
062985004650,Abraham Lincoln,Public,Paramount Unified,Elementary,"15324 California Ave., Paramount, CA 90723",(562)602-8036,33.894153,-118.1580192
063762002045,Abraham Lincoln Alternative,Public,Southern Kern Unified,"Elementary,High","2601 Rosamond Blvd., Rosamond, CA 93560",(661)256-5090,34.8644403,-118.1790186
063315005148,Abraham Lincoln Continuation,Public,Riverside Unified,High,"4341 Victoria Ave., Riverside, CA 92507",(951)788-7371,33.9712332,-117.3662265
063384005218,Abraham Lincoln Elementary,Public,Sacramento City Unified,Elementary,"3324 Glenmoor Dr., Sacramento, CA 95827",(916)395-4500,38.57101309999999,-121.3131544
063531005993,Abraham Lincoln Elementary,Public,Santa Ana Unified,Elementary,"425 South Sullivan, Santa Ana, CA 92704",(714)972-6200,33.7405353,-117.902182
062724000755,Abraham Lincoln Elementary,Public,Newport-Mesa Unified,Elementary,"2985 Bear St. Bldg. A, Costa Mesa, CA 92626",(949)515-6955,33.679661,-117.8953316
061524001937,Abraham Lincoln Elementary,Public,Glendale Unified,Elementary,"4310 New York Ave., La Crescenta, CA 91214",(818)249-1863,34.2275447,-118.2521141
061111001230,Abraham Lincoln Elementary,Public,Desert Sands Unified,Elementary,"74-100 Rutledge Way, Palm Desert, CA 92260",(760)862-4340,33.735902,-116.3727184
061029001139,Abraham Lincoln Elementary,Public,Cupertino Union,Elementary,"21710 McClellan Rd., Cupertino, CA 95014",(408)252-4798,37.3138602,-122.0543967
060939000951,Abraham Lincoln Elementary,Public,Colton Joint Unified,Elementary,"444 East Olive St., Colton, CA 92324",(909)580-5026,34.0765967,-117.316621
063581006125,Abraham Lincoln Elementary,Public,Santa Rosa Elementary,Elementary,"850 West Ninth St., Santa Rosa, CA 95401",(707)890-3940,38.4412891,-122.7372177
063459005696,Abraham Lincoln High,Public,San Jose Unified,High,"123 Test St, Testville, CA 98798",(408)535-6300,36.778261,-119.4179324
060363007992,Abraham Lincoln Jr. High,Public,Bakersfield City,Middle,"815 Eureka St., Bakersfield, CA 93305",(661)631-5950,35.3714846,-118.9926743
063627001989,Abraham Lincoln Middle,Public,Selma Unified,Middle,"1239 Nelson Blvd., Selma, CA 93662",(559)898-6600,36.5814303,-119.5998383
062271003139,Abraham Lincoln Senior High,Public,Los Angeles Unified,High,"3501 North Broadway, Los Angeles, CA 90031",(323)441-4600,34.0747623,-118.2040256
063543014546,Abram Agnew Elementary,Public,Santa Clara Unified,Elementary,"3534 Zanker Rd., San Jose, CA 95134",(408)669-4100,37.407044,-121.9310689
063153004883,Abraxas Continuation High,Public,Poway Unified,High,"12450 Glenoak Rd., Poway, CA 92064",(858)748-5900,32.9742397,-117.0610149
061473001790,Acacia Elementary,Public,Fullerton Elementary,Elementary,"1200 North Acacia Ave., Fullerton, CA 92831",(714)447-7700,33.8827236,-117.8972966
060964001004,Acacia Magnet School for Enriched Learning,Public,Conejo Valley Unified,Elementary,"55 Norman Ave., Thousand Oaks, CA 91360",(805)495-5550,34.1969966,-118.8762593
061692002148,Acacia Middle,Public,Hemet Unified,Middle,"1200 East Acacia Ave., Hemet, CA 92543",(951)765-1620,33.7441199,-116.9814699
060229110895,Academia Avance Charter,Public,Academia Avance Charter District,"Middle,High","PO Box 42095, Los Angeles, CA 90042",(323)230-7270,34.0549076,-118.242643
060236112455,Academia Moderna,Public,Academia Moderna District,Elementary,"2410 Broadway, Walnut Park, CA 90255",(323)923-0383,33.9665954,-118.2297237
062271013040,Academies of Education and Empowerment at Carson High,Public,Los Angeles Unified,High,"22328 South Main St., Carson, CA 90745",(310)847-1455,33.8225329,-118.2740156
060282013154,Academies of the Antelope Valley,Public,Antelope Valley Union High,"Middle,High","6300 West Avenue L, Quartz Hill, CA 93536",(661)943-3031,34.6595682,-118.2432485
063441012526,Academy (The)- SF @McAteer,Public,San Francisco Unified,High,"555 Portola Dr., San Francisco, CA 94131",(415)695-5700,37.7453815,-122.4486701
060191107296,Academy for Academic Excellence,Public,Academy for Academic Excellence District,"Elementary,High","17500 Mana Rd., Apple Valley, CA 92307",(760)946-5414,34.5311146,-117.2777727
060837011853,Academy for Change,Public,Chico Unified,"Middle,High","290 East Ave., Chico, CA 95926",(530)891-3092,39.7590183,-121.8588851
062271013006,Academy for Enriched Sciences,Public,Los Angeles Unified,Elementary,"17551 Miranda St., Encino, CA 91316",(818)609-8421,34.1757049,-118.515191
061686012368,Academy of Careers and Exploration,Public,Helendale Elementary,"Middle,High","PO Box 249, Helendale, CA 92342",(760)952-1266,34.7402853,-117.3257169
060985014184,Academy of Innovation,Public,Corona-Norco Unified,"Elementary,High","1951 Third St., Norco, CA 92860",(951)739-6809,33.9171822,-117.5643345
061692009555,Academy of Innovation,Public,Hemet Unified,"Elementary,High","26866 San Jacinto St., Hemet, CA 92543",(951)765-5193,33.7317464,-116.957851
062271013104,Academy of Medical Arts at Carson High,Public,Los Angeles Unified,High,"22328 South Main St., Carson, CA 90745",(310)847-1465,33.8225329,-118.2740156
064098006765,Academy of Technology & Leadership at Saticoy,Public,Ventura Unified,"Elementary,Middle","760 Jazmin Ave., Ventura, CA 93004",(805)672-2701,34.2850311,-119.1597072
064251008517,Academy of the Canyons,Public,William S. Hart Union High,High,"26455 Rockwell Canyon Rd., Santa Clarita, CA 91355",(661)362-3056,34.4044133,-118.5701088
061419010801,Academy of the Redwoods,Public,Fortuna Union High,High,"379 12th Streeet, Fortuna, CA 95540",(707)476-4203,40.59366,-124.15204
064104013396,Academy Performing Preschool,Public,Victor Elementary,,"12219 Second Ave., Victorville, CA 92395",(760)245-1691,34.4734585,-117.2984376
060165010751,Acalanes Center for Independent Study,Public,Acalanes Union High,High,"1963 Tice Valley Blvd., Walnut Creek, CA 94595",(925)280-3945,37.8769804,-122.0760515
060165000032,Acalanes High,Public,Acalanes Union High,High,"1200 Pleasant Hill Rd., Lafayette, CA 94549",(925)280-3970,37.9038837,-122.0969325
060173203245,Accelerated,Public,Accelerated District,"Elementary,Middle","4000 South Main St., Los Angeles, CA 90037",(323)235-6343,34.010732,-118.2737664
061734012565,Accelerated Achievement Academy,Public,Hollister,"Elementary,Middle","1151 Buena Vista Rd. Ste. 200, Hollister, CA 95023",(831)636-4460,36.85653560000001,-121.4173973
060147110830,Accelerated Charter Elementary,Public,Accelerated Charter Elementary District,Elementary,"3914 South Main St., Los Angeles, CA 90037",(323)846-6694,34.0114866,-118.2730599
063993013976,Accelerated Charter High,Public,Tulare Joint Union High,High,"426 North Blackstone St., Tulare, CA 93274",(559)688-2021,36.21383489999999,-119.3306156
069102410567,ACCESS County Community,Public,Orange County Department of Education,"Elementary,High","PO Box 9050, Costa Mesa, CA 92628",(714)245-6404,33.673202,-117.9233294
069102409236,ACCESS Juvenile Hall,Public,Orange County Department of Education,"Elementary,High","PO Box 9050, Costa Mesa, CA 92628",(714)935-7651,33.673202,-117.9233294
060156113023,ACE Charter High,Public,ACE Charter High District,High,"1776 Educational Park Dr., San Jose, CA 95133",(408)251-1362,37.36741,-121.858435
060221712198,ACE Empower Academy,Public,ACE Empower Academy District,"Elementary,Middle","625 South Sunset Ave., San Jose, CA 95116",(408)729-3920,37.3482222,-121.8436046
060185213740,ACE Esperanza Middle,Public,ACE Esperanza Middle District,"Elementary,Middle","1665 Santee Dr., San Jose, CA 95112",(408)729-3420,37.3271031,-121.8457045
060213813852,ACE Inspire Academy,Public,ACE Inspire Academy District,"Elementary,Middle","1100 Shasta Ave., San Jose, CA 95126",(408)295-6008,37.3324608,-121.9140436
060216511561,Achieve Academy,Public,Achieve Academy District,Elementary,"333 Hegenberger Rd. Ste. 705, Oakland, CA 94621",(510)904-6440,37.7356796,-122.1984166
069100214213,Achieve Charter High,Public,Butte County Office of Education,High,"1494 East Ave., CHICO, CA 95926",(530)872-4100,39.7622776,-121.816934
060257014596,Achieve Charter School of Chico,Public,Achieve Charter School of Chico District,"Elementary,Middle","1494 East Ave., Chico, CA 95926",(530)872-4100,39.7622776,-121.816934
060213311571,Achieve Charter School of Paradise Inc.,Public,Achieve Charter School of Paradise Inc. District,"Elementary,Middle","1494 East Ave., Chico, CA 95928",(530)762-2599,39.7622776,-121.816934
062805010730,ACORN Woodland Elementary,Public,Oakland Unified,Elementary,"1025 81st Ave., Oakland, CA 94621",(510)879-5165,37.7535122,-122.1870214
064215012492,Ada Clegg Elementary,Public,Westminster,Elementary,"6311 Larchwood Dr., Huntington Beach, CA 92647",(714)894-7218,33.7477871,-118.0197341
062460003686,Ada Givens Elementary,Public,Merced City Elementary,Elementary,"2900 Green St., Merced, CA 95340",(209)385-6610,37.3056198,-120.453904
062289003501,Ada S. Nelson Elementary,Public,Los Nietos,Elementary,"8140 South Vicki Dr., Whittier, CA 90606",(562)692-0615,33.9697312,-118.0761772
060747000706,Ada W. Harris Elementary,Public,Cardiff Elementary,Elementary,"1508 Windsor Rd., Cardiff-by-the-Sea, CA 92007",(760)632-5894,33.0314281,-117.2739953
061938002329,Adaline E. Kent Middle,Public,Kentfield Elementary,"Elementary,Middle","800 College Ave., Kentfield, CA 94904",(415)458-5970,37.9523351,-122.5487921
060558009312,Adam (William Laird) Elementary,Public,Santa Maria-Bonita,Elementary,"500 West Windsor, Santa Maria, CA 93458",(805)361-6700,34.9235628,-120.4422591
060591011574,Adams (J. Douglas) Middle,Public,Brentwood Union,Middle,"401 American Ave., Brentwood, CA 94513",(925)513-6480,37.9186698,-121.7583601
062724009593,Adams Elementary,Public,Newport-Mesa Unified,Elementary,"2985 Bear St. Bldg. A, Costa Mesa, CA 92626",(714)424-7935,33.679661,-117.8953316
063315005129,Adams Elementary,Public,Riverside Unified,Elementary,"8362 Colorado Ave., Riverside, CA 92504",(951)352-6709,33.944041,-117.4350362
063531005981,Adams Elementary,Public,Santa Ana Unified,Elementary,"2130 South Raitt St., Santa Ana, CA 92704",(714)430-5900,33.7180916,-117.8974602
063432005407,Adams Elementary,Public,San Diego Unified,Elementary,"4672 35th St., San Diego, CA 92116",(619)362-4200,32.7614015,-117.1185702
060141406015,Adams Elementary,Public,Santa Barbara Unified,Elementary,"2701 Las Positas Rd., Santa Barbara, CA 93105",(805)563-2515,34.4326812,-119.7345193
063801006398,Adams Elementary,Public,Stockton Unified,"Elementary,Middle","6402 Inglewood Ave., Stockton, CA 95207",(209)933-7155,38.0094443,-121.3146514
060003204949,Adams Middle,Public,Redondo Beach Unified,Middle,"1401 Inglewood Ave., Redondo Beach, CA 90278",(310)798-8636,33.8675938,-118.3616611
061455001703,Addams Elementary,Public,Fresno Unified,Elementary,"2117 West McKinley Ave., Fresno, CA 93728",(559)457-2510,36.7643809,-119.8369487
062250002695,Addams Elementary,Public,Long Beach Unified,Elementary,"5320 Pine Ave., Long Beach, CA 90805",(562)428-0202,33.8526506,-118.191376
062961004579,Addison Elementary,Public,Palo Alto Unified,Elementary,"650 Addison Ave., Palo Alto, CA 94301",(650)322-5935,37.4459643,-122.1508148
060234308628,Adelante Charter,Public,Adelante Charter District,Elementary,"1102 East Yanonali St., Santa Barbara, CA 93103",(805)966-7392,34.4249152,-119.6791479
060231011793,Adelante Dual Language Academy,Public,Alum Rock Union Elementary,"Elementary,Middle","2999 Ridgemont Dr., San Jose, CA 95127",(408)928-1900,37.3452628,-121.8122652
060231014147,Adelante Dual Language Academy II,Public,Alum Rock Union Elementary,"Elementary,Middle","1970 Cinderella Ln., San Jose, CA 95116",(408)928-7100,37.3446513,-121.8398832
063227002047,Adelante High,Public,Reef-Sunset Unified,High,"PO Box 149, Kettleman City, CA 93239",(559)386-9081,36.0082864,-119.9617998
060006111814,Adelante High,Public,Riverbank Unified,High,"6801 Seventh St., Riverbank, CA 95367",(209)869-2383,37.7372005,-120.9296419
063363005189,Adelante High (Continuation),Public,Roseville Joint Union High,High,"350 Atlantic St., Roseville, CA 95678",(916)782-3155,38.7526442,-121.2800516
063213004973,Adelante Selby Spanish Immersion,Public,Redwood City Elementary,Elementary,"170 Selby Ln., Atherton, CA 94027",(650)482-2415,37.4581312,-122.2202382
060171000038,Adelanto Elementary,Public,Adelanto Elementary,Elementary,"17931 Jonathan St., Adelanto, CA 92301",(760)246-5892,34.5757142,-117.4087751
063697212990,Adelanto High,Public,Victor Valley Union High,High,"15620 Joshua St., Adelanto, CA 92392",(760)246-3909,34.402849,-117.3221656
060171014369,Adelanto Virtual Academy,Public,Adelanto Elementary,"Elementary,Middle","17738 Nevada Ave., Victorville, CA 92394",(760)246-8691,34.5777615,-117.3674766
063720010436,Adele Harrison Middle,Public,Sonoma Valley Unified,Middle,"1150 Broadway, Sonoma, CA 95476",(707)935-6080,38.2796139,-122.4587847
063153001203,Adobe Bluffs Elementary,Public,Poway Unified,Elementary,"8707 Adobe Bluffs Dr., San Diego, CA 92129",(858)538-8403,32.973298,-117.1410896
062927004516,Adolfo Camarillo High,Public,Oxnard Union High,High,"4660 Mission Oaks Blvd., Camarillo, CA 93012",(805)389-6407,34.21818,-119.0084046
063543006055,Adrian Wilcox High,Public,Santa Clara Unified,High,"3250 Monroe St., Santa Clara, CA 95051",(408)423-2400,37.366294,-121.985401
060561013847,Adult Transition Program,Public,Bonita Unified,,"800 West Covina Blvd., San Dimas, CA 91773",(909)971-8230,34.0978732,-117.8252709
063531014192,Advanced Learning Academy,Public,Santa Ana Unified,"Elementary,High","408 E. Santa Clara Ave., Santa Ana, CA 92706",(714)564-2100,33.7662923,-117.8627986
062289003499,Aeolian Elementary,Public,Los Nietos,Elementary,"11600 Aeolian St., Whittier, CA 90606",(562)699-0913,33.9660032,-118.0669308
060172414234,AeroSTEM Academy,Public,AeroSTEM Academy District,"Elementary,High","82 SECOND ST., YUBA CITY, CA 95991",(530)742-2531,39.1244964,-121.6019375
069107812710,Afflerbaugh-Paige Camp,Public,Los Angeles County Office of Education,"Middle,High","9300 Imperial Hwy., Downey, CA 90242",(909)593-4926,33.91647020000001,-118.1291266
062271011315,Aggeler Community Day,Public,Los Angeles Unified,"Middle,High","21050 Plummer St., Chatsworth, CA 91311",(818)341-1232,34.2424073,-118.5924364
060254306363,Agnes J. Johnson Charter,Public,Agnes J. Johnson Charter District,"Elementary,High","PO Box 116, Weott, CA 95571",(707)946-2347,40.3214911,-123.9213179
061803002224,Agnes L. Smith Elementary,Public,Huntington Beach City Elementary,Elementary,"770 17th St., Huntington Beach, CA 92648",(714)536-1469,33.6716006,-118.0048278
063795009643,Agnes M. Baptist Elementary,Public,Stanislaus Union Elementary,Elementary,"1825 Cheyenne Way, Modesto, CA 95356",(209)527-0450,37.693096,-121.0253124
061488001882,Agnes Ware Stanley Elementary,Public,Garden Grove Unified,Elementary,"12201 Elmwood Ave., Garden Grove, CA 92840",(714)663-6484,33.785803,-117.937875
062100002518,Agoura High,Public,Las Virgenes Unified,High,"28545 West Driver Ave., Agoura, CA 91301",(818)889-1262,34.1506052,-118.7522121
062955004559,Agua Caliente Elementary,Public,Palm Springs Unified,Elementary,"30-800 San Luis Rey Plaza, Cathedral City, CA 92234",(760)416-8235,33.8255656,-116.489161
060016007902,Ahwahnee High,Public,Yosemite Unified,High,"50200 Road 427, Oakhurst, CA 93644",(559)683-4667,37.328785,-119.6314522
061455001704,Ahwahnee Middle,Public,Fresno Unified,Middle,"1127 East Escalon Ave., Fresno, CA 93710",(559)451-4300,36.8261396,-119.7697983
060342000256,Aileen Colburn Elementary,Public,Atwater Elementary,Elementary,"2201 Heller St., Atwater, CA 95301",(209)357-6136,37.3530723,-120.6197929
060222711563,AIMS College Prep High,Public,AIMS College Prep High District,High,"746 Grand Ave., Oakland, CA 94607",(510)893-8701,37.8116053,-122.2494873
060147905673,AIMS College Prep Middle,Public,AIMS College Prep Middle District,Middle,"171 12th St., Oakland, CA 94607",(510)893-8701,37.8000841,-122.2656103
060798000765,Akers Elementary,Public,Central Union Elementary,"Elementary,Middle","15783 18th Ave., Lemoore, CA 93245",(559)998-5707,36.2435263,-119.780349
061455010778,Akira Yokomi Elementary,Public,Fresno Unified,Elementary,"2323 East McKenzie, Fresno, CA 93701",(559)457-6140,36.7474777,-119.7827737
060209212248,Alain Leroy Locke College Preparatory Academy,Public,Alain Leroy Locke College Preparatory Academy District,High,"1149 South Hill Street Ste. 600, Los Angeles, CA 90015",(323)420-2170,34.0391822,-118.2612961
060166408673,Alameda Community Learning Center,Public,Alameda Community Learning Center District,"Middle,High","1900 Third St., Alameda, CA 94501",(510)995-4300,37.7791634,-122.2868433
069105106830,Alameda County Community,Public,Alameda County Office of Education,"Elementary,High","313 West Winton Ave., Hayward, CA 94544",(510)670-4590,37.6585103,-122.0983459
069105109264,Alameda County Juvenile Hall/Court,Public,Alameda County Office of Education,"Elementary,High","2500 Fairmont Ave., San Leandro, CA 94578",(510)670-7609,37.7160423,-122.1183586
069105108672,Alameda County Special Education,Public,Alameda County Office of Education,,"313 West Winton Ave., Hayward, CA 94544",(510)723-3857,37.6585103,-122.0983459
061146001260,Alameda Elementary,Public,Downey Unified,Elementary,"8613 East Alameda St., Downey, CA 90242",(562)904-3589,33.9257002,-118.1349166
060177000041,Alameda High,Public,Alameda Unified,High,"2200 Central Ave., Alameda, CA 94501",(510)337-7022,37.771355,-122.2896231
060177010547,Alameda Science and Technology Institute,Public,Alameda Unified,High,"555 Ralph Appezzato Memorial Pkwy., Alameda, CA 94501",(510)748-4021,37.78088150000001,-122.2793039
060177014340,Alameda Unified Special Education,Public,Alameda Unified,,"2060 Challenger Dr., Alameda, CA 94501",(510)337-7000,37.7822733,-122.2699666
061488001822,Alamitos Intermediate,Public,Garden Grove Unified,Middle,"12381 Dale St., Garden Grove, CA 92841",(714)663-6101,33.7833042,-117.9856699
063513005942,Alamo Elementary,Public,San Ramon Valley Unified,Elementary,"100 Wilson Rd., Alamo, CA 94507",(925)855-4800,37.867254,-122.0300283
063441005582,Alamo Elementary,Public,San Francisco Unified,Elementary,"250 23rd Ave., San Francisco, CA 94121",(415)750-8456,37.78279819999999,-122.482038
064059006697,Alamo Elementary,Public,Vacaville Unified,Elementary,"500 South Orchard Ave., Vacaville, CA 95688",(707)453-6200,38.3518626,-122.0020026
060002811039,Alamos Elementary,Public,Temecula Valley Unified,Elementary,"38200 Pacific Park Dr., Murrieta, CA 92563",(951)294-6760,33.5636152,-117.1106649
064119009204,Alamosa Park Elementary,Public,Vista Unified,Elementary,"1234 Arcadia Ave., Vista, CA 92084",(760)940-0700,33.2259398,-117.222359
063432007682,ALBA,Public,San Diego Unified,"Elementary,High","4041 Oregon St., San Diego, CA 92104",(619)344-3900,32.7509189,-117.1349231
060186000059,Albany High,Public,Albany City Unified,High,"603 Key Route Blvd., Albany, CA 94706",(510)558-2500,37.8963091,-122.2921367
060186000060,Albany Middle,Public,Albany City Unified,Middle,"1259 Brighton Ave., Albany, CA 94706",(510)558-3600,37.898041,-122.2943035
061089007275,Albany Park Elementary,Public,Delano Union Elementary,Elementary,"1405 12th Ave., Delano, CA 93215",(661)721-5020,35.7733526,-119.2396151
060002714467,Alberhill Elementary,Public,Lake Elsinore Unified,Elementary,"4170 Brianna Cir., Lake Elsinore, CA 92530",(951)440-3910,33.7088104,-117.3820141
064068006715,Albert A. Michelson Elementary,Public,Vallecito Union,Elementary,"PO Box 329, Avery, CA 95224",(209)728-3441,38.2272338,-120.3147208
060444005836,Albert Baxter Elementary,Public,Bellflower Unified,Elementary,"16703 South Clark Ave., Bellflower, CA 90706",(562)531-1602,33.8825041,-118.1345777
060189611766,Albert Einstein Academies,Public,Albert Einstein Academies District,"Elementary,Middle","3035 Ash St., San Diego, CA 92102",(858)859-1550,32.7195904,-117.1305196
062271002976,Albert Einstein Continuation,Public,Los Angeles Unified,High,"15938 Tupper St., North Hills, CA 91343",(818)892-4367,34.2390263,-118.4798954
063384005219,Albert Einstein Middle,Public,Sacramento City Unified,Middle,"9325 Mirandy Dr., Sacramento, CA 95826",(916)395-5310,38.5489589,-121.3531699
063581009635,Albert F. Biella Elementary,Public,Santa Rosa Elementary,Elementary,"2140 Jennings Ave., Santa Rosa, CA 95401",(707)890-3906,38.44966,-122.7553557
064347007028,Albert Powell Continuation,Public,Yuba City Unified,High,"1875 Clark Ave., Yuba City, CA 95991",(530)822-5210,39.1619462,-121.6261214
063462005818,Albert Schweitzer Elementary,Public,San Juan Unified,Elementary,"4350 Glenridge Dr., Carmichael, CA 95608",(916)867-2094,38.644169,-121.3002939
062513009156,Alberta Martone Elementary,Public,Modesto City Elementary,Elementary,"1413 Poust Rd., Modesto, CA 95358",(209)574-8172,37.6555909,-121.0453995
062448008196,Albion Elementary,Public,Mendocino Unified,Elementary,"30400 Albion Ridge Rd., Albion, CA 95410",(707)937-2968,39.219505,-123.715995
062271002803,Albion Street Elementary,Public,Los Angeles Unified,Elementary,"322 South Avenue 18, Los Angeles, CA 90031",(323)221-3108,34.0691611,-118.2204905
063432005408,Alcott Elementary,Public,San Diego Unified,Elementary,"4680 Hidalgo Ave., San Diego, CA 92117",(619)605-1200,32.8323346,-117.2207833
063315005130,Alcott Elementary,Public,Riverside Unified,Elementary,"2433 Central Ave., Riverside, CA 92506",(951)788-7451,33.9549144,-117.36543
063132004834,Alcott Elementary,Public,Pomona Unified,Elementary,"1600 South Towne Ave., Pomona, CA 91766",(909)397-4552,34.0429198,-117.7404326
062271002804,Aldama Elementary,Public,Los Angeles Unified,Elementary,"632 North Avenue 50, Los Angeles, CA 90042",(323)255-1434,34.1102323,-118.2064709
061389014704,Alder Creek Elementary,Public,Folsom-Cordova Unified,,"4545 Old Ranch Way, Folsom, CA 95630",(916)294-2465,38.63509,-121.106628
063877011005,Alder Creek Middle,Public,Tahoe-Truckee Unified,Middle,"10931 Alder Dr., Truckee, CA 96161",(530)582-2750,39.3451245,-120.1772816
060207211593,Alder Grove Charter School 2,Public,Alder Grove Charter School 2 District,"Elementary,High","714 F St., Eureka, CA 95501",(707)268-0854,40.7995835,-124.1660955
061392001585,Alder Middle,Public,Fontana Unified,Middle,"7555 Alder Ave., Fontana, CA 92336",(909)357-5330,34.1168824,-117.4161868
068450007373,Alderwood Elementary,Public,Irvine Unified,Elementary,"2005 Knollcrest, Irvine, CA 92603",(949)936-5400,33.6481781,-117.7760301
062580011025,Alessandro,Public,Moreno Valley Unified,"Elementary,High","23311 Dracaea Ave., Moreno Valley, CA 92553",(951)571-4510,33.9268919,-117.258449
061692002149,Alessandro High,Public,Hemet Unified,High,"831 East Devonshire Ave., Hemet, CA 92543",(951)765-5182,33.7508441,-116.9636259
062271003011,Alexander Fleming Middle,Public,Los Angeles Unified,Middle,"25425 Walnut St., Lomita, CA 90717",(310)257-4500,33.7911716,-118.312866
063801011783,Alexander Hamilton Elementary,Public,Stockton Unified,"Elementary,Middle","2245 East 11th St., Stockton, CA 95206",(209)933-7395,37.9323783,-121.2496724
062271003064,Alexander Hamilton Senior High,Public,Los Angeles Unified,High,"2955 Robertson Blvd., Los Angeles, CA 90034",(310)280-1400,34.03414,-118.391627
062450003672,Alexander Rose Elementary,Public,Milpitas Unified,Elementary,"250 Roswell Dr., Milpitas, CA 95035",(408)635-2668,37.432753,-121.8764058
060189000064,Alexander Valley Elementary,Public,Alexander Valley Union Elementary,Elementary,"8511 Highway 128, Healdsburg, CA 95448",(707)433-1375,38.6553497,-122.7931195
062271002805,Alexandria Avenue Elementary,Public,Los Angeles Unified,Elementary,"4211 Oakwood Ave., Los Angeles, CA 90004",(323)660-1936,34.0778903,-118.2988891
062271007762,Alfonso B. Perez Special Education Center,Public,Los Angeles Unified,High,"4540 Michigan Ave., Los Angeles, CA 90022",(323)269-0681,34.0382946,-118.1675655
062271003225,Alfred B. Nobel Charter Middle,Public,Los Angeles Unified,Middle,"9950 Tampa Ave., Northridge, CA 91324",(818)773-4700,34.25162420000001,-118.5511329
060015310929,Alhambra High,Public,Alhambra Unified,High,"101 South Second St., Alhambra, CA 91801",(626)943-6910,34.0926692,-118.1283109
062403003612,Alhambra Senior High,Public,Martinez Unified,High,"150 E St., Martinez, CA 94553",(925)335-5810,38.0029391,-122.1328666
062949004554,Alianza Charter,Public,Pajaro Valley Unified,"Elementary,Middle","115 Casserly Rd., Watsonville, CA 95076",(831)728-6333,36.9607149,-121.7314925
062085002501,Alicante Avenue Elementary,Public,Lamont Elementary,Elementary,"7915 Burgundy Ave., Lamont, CA 93241",(661)845-1452,35.2630284,-118.9163603
060939007687,Alice Birney Elementary,Public,Colton Joint Unified,Elementary,"1050 East Olive St., Colton, CA 92324",(909)580-5017,34.0783675,-117.310791
060005201475,Alice Birney Elementary,Public,Eureka City Schools,Elementary,"717 South Ave., Eureka, CA 95503",(707)441-2495,40.776368,-124.1784029
063384007242,Alice Birney Waldorf-Inspired,Public,Sacramento City Unified,"Elementary,Middle","6251 13th St., Sacramento, CA 95831",(916)395-4510,38.5126374,-121.5094683
062100011298,Alice C. Stelle Middle,Public,Las Virgenes Unified,Middle,"22450 Mulholland Hwy., Calabasas, CA 91302",(818)224-4107,34.1421279,-118.6124247
069100709219,Alice M. Worsley,Public,Fresno County Office of Education,"Elementary,High","3333 American Ave., Fresno, CA 93725",(559)600-4990,36.6608889,-119.7267364
061269004134,Alice N. Stroud Elementary,Public,Empire Union Elementary,Elementary,"815 Frazine Rd., Modesto, CA 95357",(209)491-0754,37.6541559,-120.9123508
062871004468,Alice Shaw Elementary,Public,Orcutt Union Elementary,Elementary,"500 Dyer St., Orcutt, CA 93455",(805)938-8850,34.8613179,-120.4431197
